General Fund: Revenues	FY 2013	FY 2014	FY 2015	FY 2016	FY 2017	FY 2018	FY 2019
Real Property Tax	40210337	42181381	44352255	46351907	48126587	50018636	50768165
Property Transfer Tax	11663871	14017607	11000000	10500000	10500000	12500000	12500000
Unsecured Property	2298523	2496321	2498523	2797777	2907777	2767684	2809200
Sales Tax	15708699	16500324	16365826	18116161	17210353	18000000	18522000
Business License	15266648	15370377	16253126	16762680	17097934	18451191	18727959
Hotel Tax	5562168	6169161	5957082	6561872	6693110	7969633	8089178
Utility Users Tax	14350002	14321714	14629742	14447392	14194436	14282375	14496610
Auto. In-Lieu	8738116	9277702	9671582	10167383	10566772	10320402	10475208
Parking Fines	8013537	6850399	7000000	7322500	7395725	6503322	6600871
Moving Violations	248798	670363	200000	234600	239292	239770	243367
Interest	3320372	2465334	2600000	2470000	2346500	2211000	2244165
Service Fees	8170473	8463613	8246837	7991504	8143343	6779035	6897838
SUB-TOTAL	133551544	138784296	138774973	143723776	145421829	150043048	152374561
Other Revenues	16711514	16431847	15606528	15731199	15970747	11106877	11114390
TOTAL	150263058	155216143	154381501	159454975	145421829	150043048	152374561
							
							
General Fund: Expenditures	FY 2013	FY 2014	FY 2015	FY 2016	FY 2017	FY 2018	FY 2019
Mayor & Council	1706149	1733917	1768200	1792456	1810354	2028441	2074738
Auditor	1924656	1925222	2052561	2116882	2147259	2261463	2304413
Police Review Commission	488526	484845	549881	562803	570417	722180	738060
City Manager	4414612	4614527	4796940	4833991	4901792	5883194	6106514
Office of Economic Development	1832488	1875736	2027532	2039208	2063458	2691403	2560121
Information Technology	5203863	4743945	5260048	5232676	5288686	5770103	6232527
City Attorney	2212760	2220327	2300900	2225084	2255910	2398356	2453702
City Clerk	1963304	1504701	1897904	1982311	2004248	2059366	2097256
Finance	5262578	5255871	5536002	5559396	5637409	5756160	5741525
Human Resources	1734270	1798549	1890079	1847317	1873393	1977674	2024979
Health, Housing & Community Services	11345141	11773139	12211374	12387323	12528058	15049190	14946689
Police	55030664	55836689	55820901	57170615	58368718	61378677	63187683
Fire	25405453	26422372	27718065	28315624	28692307	30984535	31985365
Public Works	2333305	2275051	2600255	2667233	2696864	3276300	3317370
Parks, Recreation & Waterfront	5155636	5259661	5562004	5574104	5614605	5689002	5741567
Planning	1513689	1629124	1687798	1683361	1707729	1923055	1939915
Community Agencies	4370342	4290107	4535365	4762302	4762302	6634869	6595869
Non-Departmental	13889312	19469349	16165675	18488690	18466873	16407834	15265959
TOTAL	145786748	153113132	154381484	159241376	161390382	172891802	175314252
							
							
All Fund: Expenditures	FY 2013	FY 2014	FY 2015	FY 2016	FY 2017	FY 2018	FY 2019
Mayor & Council	1706149	1733917	1768200	1792456	1810354	2028441	2074738
Auditor	2044256	2065354	2182588	2270374	2303519	2424263	2470998
Police Review Commission	488526	484845	549881	562803	570417	722180	738060
City Manager	4692692	4887010	5248901	5324144	5396740	6637466	6867862
Office of Economic Development	3710268	3243496	4255394	4325946	4365179	5626805	5501089
Information Technology	8975620	8127798	8713473	8744066	8831302	16291888	17243481
City Attorney	3442297	3916746	4020533	4001225	4040002	4343771	4418951
City Clerk	1963304	1504701	1897904	1982311	2004248	2059366	2097256
Finance	6920204	6857845	7414589	7446289	7545035	7727093	7743231
Human Resources	2812261	2997178	3223497	3248181	3296954	3810616	3900907
Health, Housing & Community Services	34077594	34729446	37701665	41341703	40108885	47355255	48602035
Police	57748694	59700592	60434204	62157537	63420717	66747004	68665330
Fire	31244878	32273589	34774493	35843030	36273849	39091308	40213292
Public Works	92344987	89659793	95242530	100209458	96572712	151198065	115099741
Parks, Recreation & Waterfront	24093527	23678863	23524395	25139664	24838563	28271481	26964125
Planning	11175016	12480485	13105140	14441058	14628211	18201442	18391816
Library	23743956	20326538	19094157	18908184	17577785	20990466	19588394
Rent Board	3985087	3826758	4245000	4476410	4528273	5525740	5525740
Non-Departmental	55714388	49308061	48305192	50923829	50176410	47343920	45508051
Subtotal	370883704	361803015	375701736	393138668	388289155	476396570	441615097
Berkeley Housing Authority	138374	25326	-	-	-	-	-
Less: Dual Appropriations	-57759765	-54340815	-52331726	-55258672	-54317462	-25589992	-25157694
NET EXPENDITURES	313262313	307487526	323370010	337879996	333971693	476396570	441615097
							
Restricted Fund: Revenues	FY 2013	FY 2014	FY 2015	FY 2016	FY 2017	FY 2018	FY 2019
Special Revenue Funds							
Emergency Disabled Services	984051	1032227	1052122	1070929	1092347	1209625	1233817
Paramedic Assessment/Tax	3110933	3226626	2844356	3050030	3191390	3417084	3475415
Parks Tax	9542084	9762684	9948439	11826449	12027328	12816390	13081657
Downtown Berkeley Prop & Improv. District	969769	947947	1005000	1005000	1005000	1250000	1250000
Measure GG - Fire Prep Tax	3917791	4130013	4186198	4256305	4341432	4812892	4909150
Street Light Assess District	2052466	2065845	2023244	1866961	1866961	1352432	1410489
Solano Avenue Business Imp. District	52888	28164	35000	35000	35000	35000	35000
Downtown Business Imp. District	4613	10	0	-	-	-	-
Telegraph Bus Pro Imp District	226933	226450	263000	263000	263000	489000	489000
N. Shattuck Bus. Imp. Dist.	165672	164558	168550	168550	168550	174011	174011
Berkeley Tourism BID	0	488864	496424	546823	557759	664136	674098
Elmwood BID	0	0	30000	30000	30000	30000	30000
Subtotal	21027200	22073388	22052333	24119047	24578767	26250570	26762637
							
Enterprise Funds							
Refuse	33861186	34101574	36673523	37600783	37710238	40453300	41242753
Marina Operation	5230735	5478724	5558716	5311066	5311066	6245459	6270459
Sewer	13315067	13588024	12801227	12801227	12801227	21384982	22827768
Clean Storm Water	2467033	2316216	2365140	2502740	2510569	2388633	2369937
Private Sewer Lateral	577473	245868	240501	240501	240501	240501	240501
Permit Service Center	9249750	14087031	13552248	12238260	12544854	14528343	15003859
Off Street Parking	3781582	3858118	3743972	4204428	3504428	3496428	3496428
Parking Meter	6496735	8052253	6861311	9191713	9191713	9191713	9191713
Unified Program - Toxics	835264	792597	864531	851868	851868	792500	780500
Building Management - 1947 Center St.	2632711	2237128	2193961	2086780	2111455	3043752	3056813
Subtotal	78447536	84757533	84855130	87029366	86777919	101765611	104480731
							
Gas / Sales Tax Street Improvement Funds	7360154	6713733	6161504	6042504	6042504	9197989	9376698
							
Bond Funds							
Measure FF - Branch Libraries	17486	2639	0	-	-	-	-
Measure G Bond Capital Improvements	3253	1032	0	-	-	-	-
Measure M - GO St & Wtr Imps	0	14975000	0	-	-	-	-
Measure S Bond Capital Improvements	952	292	0	-	-	-	-
BJPFA Lease Revenue Bonds	0	0	103336	103336	103336	103336	103336
00 Mello-Roos - Fire Equipment	100002	100000	100000	100000	100000	100000	100000
Meas I - Animal Shelter	13	4	0	-	-	-	-
Subtotal	121706	15078967	203336	203336	203336	203336	203336
							
Debt Service Funds							
Debt Service Fund	473295	473287	376750	335750	296000	262500	-
09 Measure FF Library Debt Service	1654837	1752087	1604969	1604969	1604969	1604969	1604969
99 Lease Re Bds BJPFA $9M	5829505	456963	500317	500645	499333	499942	498935
SPL Tax Bds CFD#1 ML-ROOS	992638	991639	0	-	-	-	-
2002 G.O. Refunding Bonds	1505385	1650360	1463321	1463321	1463321	1463321	1463321
Other Debt Service	3973698	5321667	4283772	4274566	4280141	4275466	4275416
Subtotal	14429358	10646003	8229129	8179251	8143764	8106198	7842641
							
Grant Funds							
Federal Grants	7320500	8012853	7274894	7559973	7559973	9810018	9810018
State / County Grants	20919526	22821757	18303336	19965975	19859520	19257523	19507523
Other Grants	580696	255002	207762	330962	330962	263447	263447
Subtotal	28820722	31089612	25785992	27856910	27750455	29330988	29580988
							
