source,target,value
Real Property Tax,General Fund,48126587
Property Transfer Tax,General Fund,10500000
Unsecured Property,General Fund,2907777
Sales Tax,General Fund,17210353
Business License,General Fund,17097934
Hotel Tax,General Fund,6693110
Utility Users Tax,General Fund,14194436
Auto. In-Lieu,General Fund,10566772
Parking Fines,General Fund,7395725
Moving Violations,General Fund,239292
Interest,General Fund,2346500
Service Fees,General Fund,8143343
Other Revenues,General Fund,15970747
Special Revenue Funds,Restricted Funds,24578767
Enterprise Funds,Restricted Funds,86777919
Gas / Sales Tax Street Improvement Funds,Restricted Funds,6042504
Bond Funds,Restricted Funds,203336
Debt Service Funds,Restricted Funds,8143764
Grant Funds,Restricted Funds,27750455
Internal Service Funds,Restricted Funds,24382838
Other Funds,Restricted Funds,38437513
Dual Appropriations,Restricted Funds,54317462
General Fund,Mayor & Council,1810354
General Fund,Auditor,2147259
General Fund,Police Review Commission,570417
General Fund,City Manager,4901792
General Fund,Office of Economic Development,2063458
General Fund,Information Technology,5288686
General Fund,City Attorney,2255910
General Fund,City Clerk,2004248
General Fund,Finance,5637409
General Fund,Human Resources,1873393
General Fund,"Health, Housing & Community Services",12528058
General Fund,Police,58368718
General Fund,Fire,28692307
General Fund,Public Works,2696864
General Fund,"Parks, Recreation & Waterfront",5614605
General Fund,Planning,1707729
General Fund,Community Agencies,4762302
General Fund,Non-Departmental (Debt Service & Misc),18466873
Restricted Funds,Auditor,156260
Restricted Funds,City Manager,494948
Restricted Funds,Office of Economic Development,2301721
Restricted Funds,Information Technology,3542616
Restricted Funds,City Attorney,1784092
Restricted Funds,Finance,1907626
Restricted Funds,Human Resources,1423561
Restricted Funds,"Health, Housing & Community Services",27580827
Restricted Funds,Police,5051999
Restricted Funds,Fire,7581542
Restricted Funds,Public Works,93875848
Restricted Funds,"Parks, Recreation & Waterfront",19223958
Restricted Funds,Planning,12920482
Restricted Funds,Library,17577785
Restricted Funds,Rent Board,4528273
Restricted Funds,Non-Departmental (Debt Service & Misc),31709537
